onet_soc_code,title,stem_occupation_types,field,job_zone,total_employment,employment_share,n_tasks,scenario,efficiency,removal_risk,risk_at_stake,reconstitution,training_depth,depth_source,scarcity,isolation,octant,severity,severity_label,trap_score,erosion_risk,willingness_gap
17-2112.02,Validation Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,365740.0,91435.0,21,extreme,74.5,50.3,50.6,46.7,46.2,education,26.6,77.9,Reversible gamble,1,Moderate,17.5,4.7,23.2
17-3022.00,Civil Engineering Technologists and Technicians,Technologists and Technicians,Architecture and Engineering,3,68520.0,68520.0,14,extreme,81.9,48.2,46.6,44.1,29.8,education,46.6,76.2,Clear win,0,Low,17.4,7.0,23.0
29-2099.08,Patient Representatives,Technologists and Technicians,Healthcare Practitioners and Technical,3,182610.0,60870.0,13,extreme,93.8,35.4,35.2,51.3,50.0,job_zone,34.9,79.2,Guard the pipeline,2,High,17.0,10.2,28.2
17-2072.01,Radio Frequency Identification Device Specialists,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,96900.0,48450.0,21,extreme,73.6,45.9,45.5,50.3,44.2,education,42.5,77.3,Guard the pipeline,2,High,17.0,1.0,23.2
15-2051.01,Business Intelligence Analysts,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,262440.0,87480.0,17,extreme,100.0,34.1,34.1,49.0,49.3,education,30.6,75.8,Clear win,0,Low,16.7,22.7,28.0
15-1253.00,Software Quality Assurance Analysts and Testers,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,186740.0,186740.0,30,extreme,96.8,39.4,40.0,43.9,37.9,education,34.6,72.8,Clear win,0,Low,16.7,15.0,17.3
15-1299.01,Web Administrators,"Research, Development, Design, and Practitioners; Technologists and Technicians",Computer and Mathematical,4,435370.0,48374.444444444445,35,extreme,97.2,41.8,42.3,41.1,39.4,education,24.5,70.5,Clear win,0,Low,16.7,17.8,26.8
19-4092.00,Forensic Science Technicians,Technologists and Technicians,"Life, Physical, and Social Science",3,19120.0,19120.0,24,extreme,49.0,68.2,65.9,49.9,30.4,education,61.9,80.8,Hold the line,0,Low,16.7,0.0,17.6
15-1254.00,Web Developers,"Research, Development, Design, and Practitioners",Computer and Mathematical,3,70190.0,70190.0,29,extreme,96.5,37.6,37.6,45.8,34.8,education,46.3,72.7,Clear win,0,Low,16.6,18.0,24.4
15-1299.08,Computer Systems Engineers/Architects,"Research, Development, Design, and Practitioners; Technologists and Technicians",Computer and Mathematical,3,435370.0,48374.444444444445,28,extreme,96.1,44.8,45.5,38.0,32.3,education,24.5,72.7,Clear win,0,Low,16.4,17.2,31.2
15-1252.00,Software Developers,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,1687890.0,1687890.0,17,extreme,97.1,42.4,42.0,39.6,44.8,education,8.3,73.5,Clear win,0,Low,16.3,16.0,29.0
15-1211.00,Computer Systems Analysts,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,519530.0,259765.0,22,extreme,100.0,40.2,40.2,39.7,37.3,education,22.4,71.7,Clear win,0,Low,16.0,19.8,33.9
19-4051.00,Nuclear Technicians,Technologists and Technicians,"Life, Physical, and Social Science",3,6470.0,3235.0,18,extreme,48.2,52.6,58.0,62.8,50.0,job_zone,74.8,76.9,Protect,2,High,15.9,0.0,2.1
17-1022.01,Geodetic Surveyors,Technologists and Technicians,Architecture and Engineering,4,50830.0,25415.0,16,extreme,69.0,42.9,40.4,52.7,44.6,education,50.2,76.7,Guard the pipeline,2,High,15.6,0.0,3.4
29-2034.00,Radiologic Technologists and Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,230490.0,230490.0,30,extreme,47.8,65.6,65.9,49.7,50.0,job_zone,32.1,75.2,Hold the line,0,Low,15.6,0.0,12.2
29-2032.00,Diagnostic Medical Sonographers,Technologists and Technicians,Healthcare Practitioners and Technical,3,90160.0,90160.0,19,extreme,44.5,65.5,63.1,53.1,50.0,job_zone,43.3,75.7,Protect,2,High,15.5,0.0,11.3
29-2043.00,Paramedics,Technologists and Technicians,Healthcare Practitioners and Technical,3,100610.0,100610.0,13,extreme,37.1,80.2,75.9,52.2,50.0,job_zone,42.0,72.8,Protect,2,High,15.5,0.0,29.5
15-1255.01,Video Game Designers,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,113330.0,56665.0,24,extreme,100.0,35.3,35.3,43.7,33.5,education,40.6,73.8,Clear win,0,Low,15.4,15.0,32.6
19-4042.00,"Environmental Science and Protection Technicians, Including Health",Technologists and Technicians,"Life, Physical, and Social Science",4,34670.0,34670.0,25,extreme,55.1,52.6,53.4,53.0,40.2,education,54.8,82.5,Strategic trap,3,Critical,15.4,0.0,16.5
19-4099.01,Quality Control Analysts,Technologists and Technicians,"Life, Physical, and Social Science",3,73910.0,36955.0,26,extreme,70.5,50.2,50.9,43.3,26.4,education,45.7,82.0,Reversible gamble,1,Moderate,15.3,5.2,20.1
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,Managerial,4,220260.0,110130.0,18,extreme,65.2,51.8,50.5,44.6,49.5,education,32.7,50.0,Reversible gamble,1,Moderate,15.1,0.0,31.5
15-1231.00,Computer Network Support Specialists,Technologists and Technicians,Computer and Mathematical,4,146190.0,146190.0,26,extreme,84.3,39.9,41.7,43.9,37.0,education,37.6,70.6,Clear win,0,Low,14.8,2.3,9.2
41-9031.00,Sales Engineers,Sales,Sales,4,51790.0,51790.0,25,extreme,88.3,35.3,36.1,47.2,47.1,education,50.0,43.1,Clear win,0,Low,14.7,9.2,26.4
19-4099.03,Remote Sensing Technicians,Technologists and Technicians,"Life, Physical, and Social Science",4,73910.0,36955.0,21,extreme,73.1,40.3,39.8,49.9,40.3,education,45.7,80.1,Clear win,0,Low,14.7,0.0,16.3
29-1141.00,Registered Nurses,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,4,3379720.0,675944.0,27,extreme,62.1,71.1,70.8,33.2,38.0,education,0.0,71.0,Reversible gamble,1,Moderate,14.7,4.9,27.4
17-3028.00,Calibration Technologists and Technicians,Technologists and Technicians,Architecture and Engineering,3,16540.0,16540.0,14,extreme,54.4,44.2,42.4,60.7,50.0,job_zone,63.6,83.0,Guard the pipeline,2,High,14.6,0.0,10.8
29-2011.02,Cytotechnologists,Technologists and Technicians,Healthcare Practitioners and Technical,5,332940.0,55490.0,13,extreme,46.1,64.2,67.9,48.8,51.0,education,27.7,75.0,Hold the line,0,Low,14.4,0.0,7.4
29-2042.00,Emergency Medical Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,180510.0,180510.0,12,extreme,37.5,72.6,76.3,50.4,50.0,job_zone,35.0,74.5,Protect,2,High,13.7,0.0,19.3
29-2033.00,Nuclear Medicine Technologists,Technologists and Technicians,Healthcare Practitioners and Technical,3,17080.0,17080.0,17,extreme,40.2,63.9,63.3,53.1,36.9,education,63.2,78.3,Protect,2,High,13.6,0.0,6.9
17-1022.00,Surveyors,Technologists and Technicians,Architecture and Engineering,4,50830.0,25415.0,24,extreme,59.4,47.8,44.6,47.1,34.4,education,50.2,74.0,Clear win,0,Low,13.4,0.0,3.9
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Technologists and Technicians,Architecture and Engineering,4,75570.0,37785.0,25,extreme,47.9,44.4,49.1,62.6,66.5,education,45.5,78.7,Quiet attrition,1,Moderate,13.3,0.0,4.6
29-2053.00,Psychiatric Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,156960.0,156960.0,16,extreme,51.7,61.6,61.1,41.9,31.0,education,36.7,77.0,Reversible gamble,1,Moderate,13.3,0.0,20.3
41-4011.07,Solar Sales Representatives and Assessors,Sales,Sales,3,284800.0,142400.0,13,extreme,94.1,35.8,36.5,38.5,34.7,education,29.6,61.3,Clear win,0,Low,13.0,9.4,27.2
29-1124.00,Radiation Therapists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,3,17070.0,17070.0,22,extreme,36.5,67.5,65.8,52.3,35.7,education,63.2,77.3,Protect,2,High,12.9,0.0,10.5
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Technologists and Technicians,Architecture and Engineering,3,15520.0,7760.0,28,extreme,55.5,45.3,47.0,50.9,31.6,education,64.4,78.7,Guard the pipeline,2,High,12.8,0.0,9.5
29-2099.01,Neurodiagnostic Technologists,Technologists and Technicians,Healthcare Practitioners and Technical,3,182610.0,60870.0,16,extreme,46.1,67.3,65.8,40.9,30.5,education,34.9,76.1,Hold the line,0,Low,12.7,0.0,19.1
17-3031.00,Surveying and Mapping Technicians,Technologists and Technicians,Architecture and Engineering,3,58010.0,58010.0,30,extreme,53.7,42.3,38.4,55.3,50.0,job_zone,48.6,78.4,Guard the pipeline,2,High,12.6,0.0,-4.4
29-1071.01,Anesthesiologist Assistants,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,162150.0,81075.0,16,extreme,22.9,72.5,62.1,76.0,100.0,job_zone,36.3,75.5,Protect,2,High,12.6,0.0,13.0
17-3027.01,Automotive Engineering Technicians,Technologists and Technicians,Architecture and Engineering,3,36190.0,18095.0,18,extreme,54.9,45.0,46.3,50.3,36.9,education,54.3,77.6,Guard the pipeline,2,High,12.4,0.0,7.7
29-2081.00,"Opticians, Dispensing",Technologists and Technicians,Healthcare Practitioners and Technical,3,73530.0,73530.0,21,extreme,54.8,55.4,53.6,40.7,21.6,education,45.8,81.0,Reversible gamble,1,Moderate,12.4,0.0,11.7
29-1141.03,Critical Care Nurses,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,4,3379720.0,675944.0,29,extreme,45.9,73.6,76.0,36.5,43.1,education,0.0,74.8,Hold the line,0,Low,12.3,0.0,23.2
29-2011.00,Medical and Clinical Laboratory Technologists,Technologists and Technicians,Healthcare Practitioners and Technical,4,332940.0,55490.0,15,extreme,43.6,63.6,70.1,44.0,41.9,education,27.7,73.9,Hold the line,0,Low,12.2,0.0,7.7
29-2092.00,Hearing Aid Specialists,Technologists and Technicians,Healthcare Practitioners and Technical,3,11270.0,11270.0,11,extreme,30.7,63.4,69.5,62.7,53.1,education,68.2,78.5,Protect,2,High,12.2,0.0,12.2
17-3024.01,Robotics Technicians,Technologists and Technicians,Architecture and Engineering,3,15520.0,7760.0,22,extreme,53.8,44.5,49.2,50.5,31.5,education,64.4,77.3,Guard the pipeline,2,High,12.1,0.0,5.2
29-2035.00,Magnetic Resonance Imaging Technologists,Technologists and Technicians,Healthcare Practitioners and Technical,3,43390.0,43390.0,24,extreme,41.5,61.7,59.9,47.3,31.3,education,52.1,79.9,Hold the line,0,Low,12.1,0.0,10.1
17-1021.00,Cartographers and Photogrammetrists,Technologists and Technicians,Architecture and Engineering,4,14260.0,14260.0,14,extreme,57.9,40.0,37.3,51.8,36.0,education,65.4,70.9,Guard the pipeline,2,High,12.0,0.0,-7.2
29-2012.00,Medical and Clinical Laboratory Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,332940.0,55490.0,14,extreme,39.2,60.1,67.7,49.0,50.0,job_zone,27.7,78.2,Hold the line,0,Low,11.5,0.0,0.7
29-1292.00,Dental Hygienists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,3,222740.0,222740.0,16,extreme,39.4,63.6,51.3,45.5,39.2,education,32.5,80.6,Hold the line,0,Low,11.4,0.0,11.8
15-1232.00,Computer User Support Specialists,Technologists and Technicians,Computer and Mathematical,3,717190.0,717190.0,16,extreme,83.1,35.6,36.4,38.0,37.4,education,18.5,68.6,Clear win,0,Low,11.2,3.4,18.7
19-4031.00,Chemical Technicians,Technologists and Technicians,"Life, Physical, and Social Science",3,57540.0,57540.0,16,extreme,50.1,47.9,50.9,45.7,31.5,education,48.7,76.6,Clear win,0,Low,11.0,0.0,14.5
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales,Sales,4,284800.0,142400.0,33,extreme,94.2,31.9,32.6,35.8,32.9,education,29.6,52.5,Clear win,0,Low,10.8,9.0,17.6
19-4051.02,Nuclear Monitoring Technicians,Technologists and Technicians,"Life, Physical, and Social Science",3,6470.0,3235.0,16,extreme,41.1,50.8,55.4,51.7,27.3,education,74.8,78.1,Protect,2,High,10.8,0.0,-6.6
29-2031.00,Cardiovascular Technologists and Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,62960.0,62960.0,21,extreme,35.2,69.2,66.1,44.2,30.1,education,47.6,74.5,Hold the line,0,Low,10.8,0.0,9.4
19-4021.00,Biological Technicians,Technologists and Technicians,"Life, Physical, and Social Science",4,69620.0,69620.0,18,extreme,52.0,38.6,41.5,50.9,41.4,education,46.4,81.6,Guard the pipeline,2,High,10.2,0.0,0.5
19-4071.00,Forest and Conservation Technicians,Technologists and Technicians,"Life, Physical, and Social Science",3,30410.0,30410.0,20,extreme,46.5,46.5,51.5,46.6,26.9,education,56.3,81.3,Low stakes,0,Low,10.1,0.0,8.2
29-2052.00,Pharmacy Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,471680.0,471680.0,21,extreme,61.9,44.7,38.6,34.5,22.1,education,23.6,82.0,Clear win,0,Low,9.5,0.0,-0.7
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Technologists and Technicians,Architecture and Engineering,3,11280.0,11280.0,11,extreme,41.2,47.4,51.1,48.9,25.9,education,68.2,77.7,Low stakes,0,Low,9.5,0.0,4.1
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Technologists and Technicians,Healthcare Practitioners and Technical,3,648410.0,648410.0,22,extreme,41.8,58.1,56.8,35.8,28.3,education,19.7,78.5,Hold the line,0,Low,8.7,0.0,7.4
19-4013.00,Food Science Technicians,Technologists and Technicians,"Life, Physical, and Social Science",3,14600.0,14600.0,16,extreme,35.5,45.4,48.0,52.9,37.9,education,65.1,72.0,Quiet attrition,1,Moderate,8.5,0.0,-8.2
29-2055.00,Surgical Technologists,Technologists and Technicians,Healthcare Practitioners and Technical,3,117460.0,117460.0,18,extreme,27.2,59.4,48.7,52.4,50.0,job_zone,40.2,76.8,Protect,2,High,8.5,0.0,-4.3
19-4012.00,Agricultural Technicians,Technologists and Technicians,"Life, Physical, and Social Science",3,15130.0,7565.0,26,extreme,39.3,38.6,41.9,51.5,33.0,education,64.7,78.0,Quiet attrition,1,Moderate,7.8,0.0,-2.0
17-3029.08,Photonics Technicians,Technologists and Technicians,Architecture and Engineering,3,59930.0,29965.0,24,extreme,39.4,41.9,47.4,44.7,29.2,education,48.2,78.2,Low stakes,0,Low,7.4,0.0,-1.4
17-3029.01,Non-Destructive Testing Specialists,Technologists and Technicians,Architecture and Engineering,,59930.0,29965.0,16,extreme,34.7,47.6,55.1,40.4,21.3,education,48.2,76.6,Low stakes,0,Low,6.7,0.0,-6.5
29-2056.00,Veterinary Technologists and Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,129140.0,129140.0,31,extreme,26.6,61.9,58.3,40.5,26.7,education,39.0,77.5,Hold the line,0,Low,6.7,0.0,3.4
29-1024.00,Prosthodontists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,870.0,870.0,12,extreme,9.0,70.2,86.3,89.5,92.2,education,98.8,68.6,Protect,2,High,5.7,0.0,11.1
29-9093.00,Surgical Assistants,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,3,22270.0,22270.0,28,extreme,12.9,72.5,71.4,58.9,50.0,job_zone,60.1,79.1,Protect,2,High,5.5,0.0,3.4
29-2011.04,Histotechnologists,Technologists and Technicians,Healthcare Practitioners and Technical,4,332940.0,55490.0,16,extreme,23.4,55.9,60.1,40.3,39.4,education,27.7,61.4,Hold the line,0,Low,5.3,0.0,-11.3
29-2099.05,Ophthalmic Medical Technologists,Technologists and Technicians,Healthcare Practitioners and Technical,3,182610.0,60870.0,31,extreme,20.4,60.8,70.9,40.3,28.5,education,34.9,77.7,Hold the line,0,Low,5.0,0.0,-5.9
29-2057.00,Ophthalmic Medical Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,71010.0,71010.0,20,extreme,18.1,59.8,64.8,39.2,19.4,education,46.2,78.3,Hold the line,0,Low,4.2,0.0,-7.1
29-2012.01,Histology Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,332940.0,55490.0,8,extreme,0.0,51.1,0.0,36.0,31.8,education,27.7,59.1,Hold the line,0,Low,0.0,0.0,-18.3
29-1223.00,Psychiatrists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,27980.0,27980.0,12,modest,49.8,74.2,73.2,77.1,92.0,education,57.3,69.5,Protect,2,High,28.5,26.9,43.0
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners",Computer and Mathematical,5,2030.0,2030.0,12,modest,83.3,41.1,39.3,78.4,75.4,education,88.7,70.2,Guard the pipeline,2,High,26.8,25.3,36.5
29-1217.00,Neurologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,10590.0,10590.0,24,modest,41.6,77.8,77.0,79.3,91.6,education,69.0,64.2,Protect,2,High,25.7,22.0,41.2
29-9092.00,Genetic Counselors,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,3740.0,3740.0,19,modest,50.8,70.2,67.9,70.0,62.6,education,81.4,71.5,Strategic trap,3,Critical,25.0,30.4,46.5
19-3094.00,Political Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,5540.0,5540.0,14,modest,64.5,47.5,45.1,79.9,83.4,education,76.7,76.0,Guard the pipeline,2,High,24.5,24.6,45.9
19-1029.01,Bioinformatics Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,55850.0,13962.5,20,modest,72.5,49.8,48.2,67.6,76.0,education,49.1,74.1,Guard the pipeline,2,High,24.4,17.7,41.9
19-2012.00,Physicists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,20430.0,20430.0,16,modest,62.7,49.2,48.9,78.7,87.9,education,61.1,82.0,Guard the pipeline,2,High,24.3,14.2,37.9
29-1229.02,Hospitalists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,14,modest,48.2,73.9,70.4,67.3,89.8,education,27.4,71.0,Protect,2,High,24.0,27.4,43.1
19-2011.00,Astronomers,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,2120.0,2120.0,17,modest,57.2,47.5,42.6,86.4,86.6,education,88.2,83.0,Guard the pipeline,2,High,23.5,12.5,34.1
17-1011.00,"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners",Architecture and Engineering,5,106770.0,106770.0,25,modest,55.9,52.9,50.5,78.2,100.0,job_zone,41.3,79.2,Strategic trap,3,Critical,23.1,11.7,32.5
29-1213.00,Dermatologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,11370.0,11370.0,18,modest,38.6,77.8,73.6,75.9,84.4,education,68.1,66.4,Protect,2,High,22.8,16.0,40.2
15-2011.00,Actuaries,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,26670.0,26670.0,15,modest,49.0,65.0,61.0,71.3,75.0,job_zone,57.9,82.3,Protect,2,High,22.7,27.5,42.6
29-1129.01,Art Therapists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,22640.0,11320.0,25,modest,42.2,63.3,64.4,83.7,100.0,job_zone,59.9,78.7,Protect,2,High,22.4,14.4,34.8
15-2041.01,Biostatisticians,"Research, Development, Design, and Practitioners",Computer and Mathematical,5,29030.0,14515.0,25,modest,78.4,43.0,40.4,65.7,66.3,education,56.9,77.6,Guard the pipeline,2,High,22.1,25.6,34.7
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners",Computer and Mathematical,5,29030.0,14515.0,19,modest,78.2,44.2,41.8,62.6,60.3,education,56.9,76.8,Guard the pipeline,2,High,21.6,24.2,35.2
19-1011.00,Animal Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,3100.0,3100.0,9,modest,70.4,41.4,38.1,74.0,71.6,education,83.6,65.8,Guard the pipeline,2,High,21.6,5.8,38.3
19-2021.00,Atmospheric and Space Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,10000.0,10000.0,27,modest,69.4,46.5,44.6,66.0,57.7,education,69.6,81.5,Guard the pipeline,2,High,21.3,11.1,33.4
15-2051.00,Data Scientists,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,262440.0,87480.0,16,modest,87.1,40.5,40.0,60.1,75.0,job_zone,30.6,67.3,Guard the pipeline,2,High,21.2,24.8,36.6
29-1229.01,Allergists and Immunologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,16,modest,43.3,78.2,77.4,62.7,81.7,education,27.4,68.0,Protect,2,High,21.2,24.5,44.4
19-2041.01,Climate Change Policy Analysts,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,89250.0,22312.5,14,modest,71.0,49.2,48.9,60.4,64.5,education,43.5,75.6,Guard the pipeline,2,High,21.1,24.3,45.1
15-1299.06,Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians",Computer and Mathematical,4,435370.0,48374.444444444445,20,modest,65.3,52.1,50.9,61.9,75.0,job_zone,24.5,85.1,Strategic trap,3,Critical,21.1,19.8,28.3
19-1041.00,Epidemiologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,12090.0,12090.0,16,modest,48.3,59.8,55.0,72.6,72.6,education,67.4,80.4,Protect,2,High,21.0,19.4,43.0
29-1229.05,Preventive Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,15,modest,46.1,63.3,57.6,71.7,96.0,education,27.4,77.4,Protect,2,High,20.9,20.3,40.7
19-3011.01,Environmental Economists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,17790.0,8895.0,20,modest,57.9,51.3,50.8,69.9,71.5,education,62.8,76.3,Strategic trap,3,Critical,20.8,21.4,45.1
19-3041.00,Sociologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,2260.0,2260.0,15,modest,55.1,47.7,47.0,79.1,75.4,education,87.4,76.1,Guard the pipeline,2,High,20.8,17.1,41.1
19-3099.01,Transportation Planners,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,37100.0,37100.0,22,modest,62.3,56.0,52.9,59.0,53.1,education,54.0,81.5,Strategic trap,3,Critical,20.6,26.3,45.1
29-1299.01,Naturopathic Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,28630.0,14315.0,20,modest,40.6,68.7,63.7,73.5,85.2,education,57.1,68.9,Protect,2,High,20.5,8.3,31.6
29-1241.00,"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,8950.0,8950.0,18,modest,35.0,78.8,77.8,74.2,79.6,education,71.0,65.7,Protect,2,High,20.5,13.1,35.1
29-1299.02,Orthoptists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,28630.0,14315.0,16,modest,34.6,72.0,75.8,81.0,100.0,job_zone,57.1,69.3,Protect,2,High,20.2,11.6,31.9
15-2099.01,Bioinformatics Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",Computer and Mathematical,4,3720.0,3720.0,19,modest,79.7,37.2,38.0,67.9,55.2,education,81.5,79.2,Guard the pipeline,2,High,20.1,18.4,30.8
29-1215.00,Family Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,107510.0,107510.0,12,modest,39.3,74.2,71.8,68.8,85.8,education,41.2,67.9,Protect,2,High,20.1,22.2,39.3
19-3011.00,Economists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,17790.0,8895.0,14,modest,59.4,50.0,43.9,67.0,65.7,education,62.8,76.4,Strategic trap,3,Critical,19.9,20.5,41.0
15-1255.00,Web and Digital Interface Designers,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,113330.0,56665.0,30,modest,85.2,36.0,35.3,64.7,75.0,job_zone,40.6,75.1,Guard the pipeline,2,High,19.8,20.2,31.1
15-1243.01,Data Warehousing Specialists,"Research, Development, Design, and Practitioners",Computer and Mathematical,4,67140.0,33570.0,18,modest,90.3,43.4,42.5,50.6,43.0,education,46.9,75.0,Guard the pipeline,2,High,19.8,24.9,35.9
29-1224.00,Radiologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,26770.0,26770.0,30,modest,34.6,75.7,74.0,74.9,85.7,education,57.9,73.2,Protect,2,High,19.6,18.6,34.0
19-3039.03,Clinical Neuropsychologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,18820.0,9410.0,18,modest,34.4,68.6,71.9,82.5,98.7,education,62.1,72.5,Protect,2,High,19.5,14.7,39.4
29-1229.06,Sports Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,27,modest,40.4,70.3,68.4,68.2,92.2,education,27.4,69.4,Protect,2,High,19.4,18.0,40.1
15-1299.04,Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians",Computer and Mathematical,4,435370.0,48374.444444444445,22,modest,60.1,52.0,46.5,61.7,75.0,job_zone,24.5,84.1,Strategic trap,3,Critical,19.3,23.6,32.5
17-2111.02,Fire-Prevention and Protection Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,21450.0,10725.0,14,modest,55.7,58.9,52.5,58.1,47.9,education,60.5,79.8,Strategic trap,3,Critical,19.1,18.9,38.2
29-1051.00,Pharmacists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,321970.0,321970.0,21,modest,45.2,65.3,61.2,64.3,79.5,education,28.1,80.7,Protect,2,High,19.0,14.6,26.1
29-1222.00,"Physicians, Pathologists","Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,11110.0,11110.0,19,modest,32.2,71.7,70.7,82.2,92.6,education,68.4,77.0,Protect,2,High,19.0,12.3,29.1
29-1218.00,Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,21260.0,21260.0,15,modest,30.8,77.2,71.4,79.7,95.7,education,60.6,68.4,Protect,2,High,19.0,14.0,36.1
29-1216.00,General Internal Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,67150.0,67150.0,19,modest,32.9,77.5,75.4,74.2,92.8,education,46.9,68.5,Protect,2,High,18.9,16.8,39.1
19-1042.00,"Medical Scientists, Except Epidemiologists","Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,172340.0,172340.0,14,modest,49.7,57.5,56.5,65.3,78.6,education,35.6,76.7,Protect,2,High,18.7,9.2,33.8
29-1171.00,Nurse Practitioners,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,323040.0,323040.0,27,modest,44.3,74.9,71.0,56.5,68.6,education,28.1,68.7,Protect,2,High,18.7,19.5,40.3
29-1214.00,Emergency Medicine Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,32880.0,32880.0,17,modest,29.1,82.2,79.4,77.5,93.9,education,55.4,69.5,Protect,2,High,18.5,15.0,37.1
29-2072.00,Medical Records Specialists,Technologists and Technicians,Healthcare Practitioners and Technical,3,194720.0,194720.0,16,modest,73.1,48.8,44.5,51.5,50.0,job_zone,34.1,81.3,Guard the pipeline,2,High,18.4,18.1,22.4
15-2031.00,Operations Research Analysts,"Research, Development, Design, and Practitioners",Computer and Mathematical,5,108510.0,108510.0,17,modest,73.2,43.5,43.1,57.1,59.0,education,41.1,76.6,Guard the pipeline,2,High,18.2,20.4,38.0
19-3039.02,Neuropsychologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,18820.0,9410.0,14,modest,35.4,62.6,66.0,81.6,97.5,education,62.1,70.9,Protect,2,High,18.1,12.4,38.4
